club_name,player_name,age,position,club_involved_name,transfer_movement,transfer_period,fee_cleaned,season
West Brom,Nathan Ellington,23.0,Centre-Forward,Wigan,in,Summer,4.5,2005/2006
West Brom,Darren Carter,21.0,Central Midfield,Birmingham,in,Summer,2.25,2005/2006
West Brom,Diomansy Kamara,24.0,Right Winger,Portsmouth FC,in,Summer,2.25,2005/2006
Sunderland AFC,Jon Stead,22.0,Centre-Forward,Blackburn Rovers,in,Summer,2.7,2005/2006
Sunderland AFC,Kelvin Davis,28.0,Goalkeeper,Ipswich Town,in,Summer,1.88,2005/2006
Sunderland AFC,Andy Gray,27.0,Centre-Forward,Sheff Utd,in,Summer,1.2,2005/2006
Wigan Athletic,Henri Camara,28.0,Centre-Forward,Wolves,in,Summer,6.45,2005/2006
Wigan Athletic,David Connolly,28.0,attack,Leicester City,in,Summer,3.0,2005/2006
Wigan Athletic,Damien Francis,26.0,Central Midfield,Norwich City,in,Summer,2.25,2005/2006
West Ham United,Paul Konchesky,24.0,Left-Back,Charlton,in,Summer,2.25,2005/2006
West Ham United,Danny Gabbidon,25.0,Centre-Back,Cardiff City,in,Summer,2.0,2005/2006
West Ham United,James Collins,21.0,Centre-Back,Cardiff City,in,Summer,2.0,2005/2006
West Ham United,Clive Clarke,25.0,Left-Back,Stoke City,in,Summer,0.55,2005/2006
Arsenal FC,Theo Walcott,16.0,Right Winger,Southampton,in,Winter,10.5,2005/2006
Man City,Matt Mills,19.0,Centre-Back,Southampton,in,Winter,0.375,2005/2006
Spurs,Danny Murphy,28.0,Central Midfield,Charlton,in,Winter,3.21,2005/2006
Charlton,Marcus Bent,27.0,Centre-Forward,Everton,in,Winter,3.0,2005/2006
Birmingham City,DJ Campbell,24.0,Centre-Forward,Brentford FC,in,Winter,0.75,2005/2006
Fulham FC,Michael Brown,28.0,Central Midfield,Spurs,in,Winter,2.3,2005/2006
Fulham FC,Antti Niemi,33.0,Goalkeeper,Southampton,in,Winter,1.5,2005/2006
Newcastle United,Nolberto Solano,31.0,Right Midfield,Aston Villa,in,Winter,2.25,2005/2006
Blackburn Rovers,David Bentley,21.0,Right Midfield,Arsenal FC,in,Winter,1.75,2005/2006
Blackburn Rovers,Florent Sinama-Pongolle,21.0,Second Striker,Liverpool FC,in,Winter,0.15,2005/2006
Portsmouth FC,Sean Davis,26.0,Defensive Midfield,Spurs,in,Winter,2.8,2005/2006
Portsmouth FC,Dean Kiely,35.0,Goalkeeper,Charlton,in,Winter,0.25,2005/2006
West Brom,Nigel Quashie,27.0,Central Midfield,Southampton,in,Winter,1.8,2005/2006
West Ham United,Dean Ashton,22.0,Centre-Forward,Norwich City,in,Winter,10.89,2005/2006
Chelsea FC,Ashley Cole,25.0,Left-Back,Arsenal FC,in,Summer,7.4,2006/2007
Man Utd,Michael Carrick,25.0,Defensive Midfield,Spurs,in,Summer,27.2,2006/2007
Liverpool FC,Jermaine Pennant,23.0,Right Winger,Birmingham,in,Summer,9.1,2006/2007
Liverpool FC,Craig Bellamy,26.0,Left Winger,Blackburn Rovers,in,Summer,9.0,2006/2007
Middlesbrough FC,Robert Huth,21.0,Centre-Back,Chelsea FC,in,Summer,8.9,2006/2007
Middlesbrough FC,Julio Arca,25.0,Central Midfield,Sunderland AFC,in,Summer,2.4,2006/2007
Man City,Dietmar Hamann,32.0,Defensive Midfield,Bolton,in,Summer,0.6,2006/2007
Spurs,Pascal Chimbonda,27.0,Centre-Back,Wigan,in,Summer,10.0,2006/2007
Spurs,Steed Malbranque,26.0,Central Midfield,Fulham FC,in,Summer,3.0,2006/2007
Charlton,Andy Reid,23.0,Left Midfield,Spurs,in,Summer,4.2,2006/2007
Charlton,Amdy Faye,29.0,Defensive Midfield,Newcastle United,in,Summer,3.0,2006/2007
Charlton,Djimi Traoré,26.0,Centre-Back,Liverpool FC,in,Summer,2.8,2006/2007
Charlton,Simon Walton,18.0,Central Midfield,Leeds United,in,Summer,0.675,2006/2007
Fulham FC,Franck Queudrue,27.0,Left-Back,Middlesbrough FC,in,Summer,4.5,2006/2007
Fulham FC,Jimmy Bullard,27.0,Central Midfield,Wigan,in,Summer,3.75,2006/2007
Newcastle United,Damien Duff,27.0,Right Midfield,Chelsea FC,in,Summer,15.5,2006/2007
Blackburn Rovers,Jason Roberts,28.0,Centre-Forward,Wigan,in,Summer,4.08,2006/2007
Blackburn Rovers,Zurab Khizanishvili,24.0,Centre-Back,Rangers,in,Summer,0.75,2006/2007
Portsmouth FC,David James,36.0,Goalkeeper,Man City,in,Summer,1.7,2006/2007
Portsmouth FC,Andy Cole,34.0,Centre-Forward,Man City,in,Summer,0.75,2006/2007
Wigan Athletic,Emile Heskey,28.0,Centre-Forward,Birmingham,in,Summer,7.5,2006/2007
Wigan Athletic,Fitz Hall,25.0,Centre-Back,Crystal Palace,in,Summer,4.5,2006/2007
Wigan Athletic,Chris Kirkland,25.0,Goalkeeper,Liverpool FC,in,Summer,3.73,2006/2007
Wigan Athletic,Kevin Kilbane,29.0,Left Midfield,Everton,in,Summer,2.5,2006/2007
Wigan Athletic,Emmerson Boyce,26.0,Right-Back,Crystal Palace,in,Summer,1.5,2006/2007
West Ham United,Rob Green,26.0,Goalkeeper,Norwich City,in,Summer,3.0,2006/2007
West Ham United,Carlton Cole,22.0,Centre-Forward,Chelsea FC,in,Summer,3.0,2006/2007
West Ham United,George McCartney,25.0,Left-Back,Sunderland AFC,in,Summer,1.63,2006/2007
West Ham United,Lee Bowyer,29.0,Central Midfield,Newcastle United,in,Summer,1.13,2006/2007
West Ham United,Jonathan Spector,20.0,Centre-Back,Man Utd,in,Summer,0.75,2006/2007
Reading FC,Ki-hyeon Seol,27.0,Right Winger,Wolves,in,Summer,1.5,2006/2007
Reading FC,Sam Sodje,27.0,Centre-Back,Brentford FC,in,Summer,0.75,2006/2007
Sheff Utd,Rob Hulse,26.0,Centre-Forward,Leeds United,in,Summer,3.45,2006/2007
Sheff Utd,Colin Kazim-Richards,20.0,Centre-Forward,Brighton,in,Summer,1.5,2006/2007
Sheff Utd,Mikele Leigertwood,23.0,Defensive Midfield,Crystal Palace,in,Summer,0.75,2006/2007
Sheff Utd,Ian Bennett,34.0,Goalkeeper,Leeds United,in,Summer,0.15,2006/2007
Watford FC,Danny Shittu,25.0,Centre-Back,QPR,in,Summer,2.4,2006/2007
Watford FC,Damien Francis,27.0,Central Midfield,Wigan,in,Summer,2.25,2006/2007
Watford FC,Tommy Smith,26.0,Centre-Forward,Derby County,in,Summer,0.725,2006/2007
Liverpool FC,Javier Mascherano,22.0,Defensive Midfield,West Ham United,in,Winter,2.0,2006/2007
Spurs,Ben Alnwick,20.0,Goalkeeper,Sunderland AFC,in,Winter,1.5,2006/2007
Aston Villa,Ashley Young,21.0,Left-Back,Watford FC,in,Winter,13.2,2006/2007
Charlton,Madjid Bougherra,24.0,Centre-Back,Sheff Wed,in,Winter,3.79,2006/2007
Charlton,Ben Thatcher,31.0,Left-Back,Man City,in,Winter,0.75,2006/2007
Charlton,Alex Song,19.0,Defensive Midfield,Arsenal FC,in,Winter,0.275,2006/2007
Blackburn Rovers,David Dunn,27.0,Attacking Midfield,Birmingham,in,Winter,3.2,2006/2007
Blackburn Rovers,Stephen Warnock,25.0,Left-Back,Liverpool FC,in,Winter,2.25,2006/2007
Portsmouth FC,Djimi Traoré,26.0,Centre-Back,Charlton,in,Winter,1.4,2006/2007
Portsmouth FC,Laurén,29.0,Right-Back,Arsenal FC,in,Winter,0.55,2006/2007
West Ham United,Matthew Upson,27.0,Centre-Back,Birmingham,in,Winter,12.6,2006/2007
West Ham United,Luís Boa Morte,29.0,Left Midfield,Fulham FC,in,Winter,6.8,2006/2007
West Ham United,Calum Davenport,24.0,defence,Spurs,in,Winter,4.2,2006/2007
West Ham United,Lucas Neill,28.0,Centre-Back,Blackburn Rovers,in,Winter,2.3,2006/2007
West Ham United,Nigel Quashie,28.0,Central Midfield,West Brom,in,Winter,2.25,2006/2007
Reading FC,Michael Duberry,31.0,Centre-Back,Stoke City,in,Winter,1.5,2006/2007
Sheff Utd,Matthew Kilgallon,22.0,Centre-Back,Leeds United,in,Winter,3.8,2006/2007
Sheff Utd,Jon Stead,23.0,Centre-Forward,Sunderland AFC,in,Winter,1.13,2006/2007
Watford FC,Gareth Williams,25.0,Central Midfield,Leicester City,in,Winter,1.25,2006/2007
Watford FC,Steve Kabba,25.0,Centre-Forward,Sheff Utd,in,Winter,0.75,2006/2007
Watford FC,Moses Ashikodi,19.0,Centre-Forward,Rangers,in,Winter,0.1,2006/2007
Man Utd,Carlos Tévez,23.0,Second Striker,West Ham United,in,Summer,12.7,2007/2008
Man Utd,Tomasz Kuszczak,25.0,Goalkeeper,West Brom,in,Summer,4.3,2007/2008
Liverpool FC,Yossi Benayoun,27.0,Right Winger,West Ham United,in,Summer,7.3,2007/2008
Arsenal FC,Lassana Diarra,22.0,Defensive Midfield,Chelsea FC,in,Summer,2.9,2007/2008
Spurs,Darren Bent,23.0,Centre-Forward,Charlton,in,Summer,24.75,2007/2008
Spurs,Gareth Bale,17.0,Right Winger,Southampton,in,Summer,14.7,2007/2008
Bolton,Heidar Helguson,29.0,Centre-Forward,Fulham FC,in,Summer,2.85,2007/2008
Bolton,Gavin McCann,29.0,Central Midfield,Aston Villa,in,Summer,1.5,2007/2008
Reading FC,Liam Rosenior,23.0,Right-Back,Fulham FC,in,Summer,1.9,2007/2008
Portsmouth FC,Glen Johnson,23.0,Right-Back,Chelsea FC,in,Summer,5.5,2007/2008
Portsmouth FC,Papa Bouba Diop,29.0,Defensive Midfield,Fulham FC,in,Summer,5.0,2007/2008
Aston Villa,Nigel Reo-Coker,23.0,Defensive Midfield,West Ham United,in,Summer,12.5,2007/2008
Aston Villa,Marlon Harewood,27.0,Centre-Forward,West Ham United,in,Summer,5.5,2007/2008
Aston Villa,Zat Knight,27.0,Centre-Back,Fulham FC,in,Summer,4.7,2007/2008
Middlesbrough FC,Mido,24.0,Centre-Forward,Spurs,in,Summer,8.8,2007/2008
Middlesbrough FC,Gary O'Neil,24.0,Central Midfield,Portsmouth FC,in,Summer,7.5,2007/2008
Middlesbrough FC,Luke Young,28.0,Right-Back,Charlton,in,Summer,3.75,2007/2008
Middlesbrough FC,Jérémie Aliadière,24.0,Centre-Forward,Arsenal FC,in,Summer,3.0,2007/2008
Newcastle United,Alan Smith,26.0,Central Midfield,Man Utd,in,Summer,9.0,2007/2008
Newcastle United,Joey Barton,24.0,Central Midfield,Man City,in,Summer,8.6,2007/2008
Newcastle United,Abdoulaye Faye,29.0,Centre-Back,Bolton,in,Summer,2.8,2007/2008
West Ham United,Kieron Dyer,28.0,Right Midfield,Newcastle United,in,Summer,12.0,2007/2008
West Ham United,Craig Bellamy,27.0,Left Winger,Liverpool FC,in,Summer,11.25,2007/2008
West Ham United,Scott Parker,26.0,Central Midfield,Newcastle United,in,Summer,10.25,2007/2008
West Ham United,Freddie Ljungberg,30.0,Right Midfield,Arsenal FC,in,Summer,4.5,2007/2008
Fulham FC,Diomansy Kamara,26.0,Right Winger,West Brom,in,Summer,9.0,2007/2008
Fulham FC,Steven Davis,22.0,Central Midfield,Aston Villa,in,Summer,5.9,2007/2008
Fulham FC,Hameur Bouazza,22.0,Right Winger,Watford FC,in,Summer,4.5,2007/2008
Fulham FC,Chris Baird,25.0,Defensive Midfield,Southampton,in,Summer,4.5,2007/2008
Fulham FC,Paul Konchesky,26.0,Left-Back,West Ham United,in,Summer,4.0,2007/2008
Fulham FC,Lee Cook,24.0,Left Winger,QPR,in,Summer,3.75,2007/2008
Fulham FC,David Healy,27.0,Centre-Forward,Leeds United,in,Summer,2.25,2007/2008
Fulham FC,Dejan Stefanovic,32.0,Centre-Back,Portsmouth FC,in,Summer,1.5,2007/2008
Fulham FC,Aaron Hughes,27.0,Centre-Back,Aston Villa,in,Summer,1.5,2007/2008
Wigan Athletic,Jason Koumas,27.0,Attacking Midfield,West Brom,in,Summer,6.9,2007/2008
Wigan Athletic,Michael Brown,30.0,Central Midfield,Fulham FC,in,Summer,1.3,2007/2008
Derby County,Robert Earnshaw,26.0,Centre-Forward,Norwich City,in,Summer,5.2,2007/2008
Derby County,Claude Davis,28.0,Centre-Back,Sheff Utd,in,Summer,4.5,2007/2008
Derby County,Andy Todd,32.0,Centre-Back,Blackburn Rovers,in,Summer,0.675,2007/2008
Derby County,Lewis Price,22.0,Goalkeeper,Ipswich Town,in,Summer,0.35,2007/2008
Derby County,Eddie Lewis,33.0,Left Midfield,Leeds United,in,Summer,0.3,2007/2008
Sunderland AFC,Kenwyne Jones,22.0,Centre-Forward,Southampton,in,Summer,9.0,2007/2008
Sunderland AFC,Kieran Richardson,22.0,Left-Back,Man Utd,in,Summer,8.2,2007/2008
Sunderland AFC,Michael Chopra,23.0,Centre-Forward,Cardiff City,in,Summer,7.5,2007/2008
Sunderland AFC,Greg Halford,22.0,Centre-Back,Reading FC,in,Summer,5.2,2007/2008
Sunderland AFC,Danny Higginbotham,28.0,Centre-Back,Stoke City,in,Summer,3.75,2007/2008
Sunderland AFC,Paul McShane,21.0,Centre-Back,West Brom,in,Summer,3.75,2007/2008
Sunderland AFC,Dickson Etuhu,25.0,Defensive Midfield,Norwich City,in,Summer,2.0,2007/2008
Birmingham City,Fabrice Muamba,19.0,Central Midfield,Arsenal FC,in,Summer,6.0,2007/2008
Birmingham City,Franck Queudrue,28.0,Left-Back,Fulham FC,in,Summer,3.75,2007/2008
Birmingham City,Liam Ridgewell,23.0,Centre-Back,Aston Villa,in,Summer,3.0,2007/2008
Chelsea FC,Nicolas Anelka,28.0,Centre-Forward,Bolton,in,Winter,18.0,2007/2008
Spurs,Alan Hutton,23.0,Right-Back,Rangers,in,Winter,13.0,2007/2008
Spurs,Jonathan Woodgate,28.0,Centre-Back,Middlesbrough FC,in,Winter,10.8,2007/2008
Spurs,Chris Gunter,18.0,Right-Back,Cardiff City,in,Winter,3.2,2007/2008
Bolton,Gary Cahill,22.0,Centre-Back,Aston Villa,in,Winter,6.0,2007/2008
Bolton,Matthew Taylor,26.0,Left Midfield,Portsmouth FC,in,Winter,4.7,2007/2008
Portsmouth FC,Jermain Defoe,25.0,Centre-Forward,Spurs,in,Winter,9.3,2007/2008
Portsmouth FC,Lassana Diarra,22.0,Defensive Midfield,Arsenal FC,in,Winter,7.0,2007/2008
Aston Villa,Wayne Routledge,23.0,Left Winger,Spurs,in,Winter,1.7,2007/2008
Newcastle United,Ben Tozer,17.0,Centre-Back,Swindon Town,in,Winter,0.3,2007/2008
Man City,Benjani,29.0,Centre-Forward,Portsmouth FC,in,Winter,5.2,2007/2008
Wigan Athletic,Marlon King,27.0,Centre-Forward,Watford FC,in,Winter,4.0,2007/2008
Derby County,Robbie Savage,33.0,Central Midfield,Blackburn Rovers,in,Winter,2.25,2007/2008
Sunderland AFC,Andy Reid,25.0,Left Midfield,Charlton,in,Winter,6.0,2007/2008
Sunderland AFC,Phil Bardsley,22.0,Right-Back,Man Utd,in,Winter,3.0,2007/2008
Birmingham City,James McFadden,24.0,Second Striker,Everton,in,Winter,7.5,2007/2008
Man Utd,Dimitar Berbatov,27.0,Centre-Forward,Spurs,in,Summer,38.0,2008/2009
Arsenal FC,Aaron Ramsey,17.0,Central Midfield,Cardiff City,in,Summer,6.4,2008/2009
Arsenal FC,Mikaël Silvestre,31.0,Left-Back,Man Utd,in,Summer,0.95,2008/2009
Liverpool FC,Robbie Keane,28.0,Centre-Forward,Spurs,in,Summer,24.0,2008/2009
Liverpool FC,Javier Mascherano,24.0,Defensive Midfield,West Ham United,in,Summer,22.5,2008/2009
Aston Villa,James Milner,22.0,Central Midfield,Newcastle United,in,Summer,15.0,2008/2009
Aston Villa,Curtis Davies,23.0,Centre-Back,West Brom,in,Summer,10.0,2008/2009
Aston Villa,Carlos Cuéllar,26.0,Centre-Back,Rangers,in,Summer,10.0,2008/2009
Aston Villa,Steve Sidwell,25.0,Central Midfield,Chelsea FC,in,Summer,6.3,2008/2009
Aston Villa,Nicky Shorey,27.0,Left-Back,Reading FC,in,Summer,4.4,2008/2009
Aston Villa,Luke Young,29.0,Right-Back,Middlesbrough FC,in,Summer,3.0,2008/2009
Aston Villa,Brad Friedel,37.0,Goalkeeper,Blackburn Rovers,in,Summer,2.5,2008/2009
Blackburn Rovers,Paul Robinson,28.0,Goalkeeper,Spurs,in,Summer,4.4,2008/2009
Portsmouth FC,Peter Crouch,27.0,Centre-Forward,Liverpool FC,in,Summer,13.7,2008/2009
Portsmouth FC,Younès Kaboul,22.0,Centre-Back,Spurs,in,Summer,6.25,2008/2009
Man City,Shaun Wright-Phillips,26.0,Right Winger,Chelsea FC,in,Summer,11.25,2008/2009
Man City,Tal Ben Haim,26.0,Centre-Back,Chelsea FC,in,Summer,6.4,2008/2009
Spurs,David Bentley,23.0,Right Midfield,Blackburn Rovers,in,Summer,22.0,2008/2009
Spurs,Vedran Corluka,22.0,Centre-Back,Man City,in,Summer,13.75,2008/2009
Spurs,John Bostock,16.0,Central Midfield,Crystal Palace,in,Summer,2.0,2008/2009
Newcastle United,Danny Guthrie,21.0,Central Midfield,Liverpool FC,in,Summer,4.3,2008/2009
Middlesbrough FC,Justin Hoyte,23.0,Right-Back,Arsenal FC,in,Summer,3.8,2008/2009
Wigan Athletic,Lee Cattermole,20.0,Defensive Midfield,Middlesbrough FC,in,Summer,4.4,2008/2009
Wigan Athletic,Olivier Kapo,27.0,Attacking Midfield,Birmingham,in,Summer,4.4,2008/2009
Sunderland AFC,Anton Ferdinand,23.0,Centre-Back,West Ham United,in,Summer,10.0,2008/2009
Sunderland AFC,George McCartney,27.0,Left-Back,West Ham United,in,Summer,5.5,2008/2009
Sunderland AFC,Steed Malbranque,28.0,Central Midfield,Spurs,in,Summer,5.0,2008/2009
Sunderland AFC,Pascal Chimbonda,29.0,Centre-Back,Spurs,in,Summer,3.2,2008/2009
Sunderland AFC,El-Hadji Diouf,27.0,Centre-Forward,Bolton,in,Summer,3.2,2008/2009
Sunderland AFC,Teemu Tainio,28.0,Defensive Midfield,Spurs,in,Summer,3.0,2008/2009
Sunderland AFC,David Healy,29.0,Centre-Forward,Fulham FC,in,Summer,1.5,2008/2009
Bolton,Fabrice Muamba,20.0,Central Midfield,Birmingham,in,Summer,6.4,2008/2009
Bolton,Danny Shittu,27.0,Centre-Back,Watford FC,in,Summer,2.4,2008/2009
Fulham FC,Andy Johnson,27.0,Centre-Forward,Everton,in,Summer,13.3,2008/2009
Fulham FC,Bobby Zamora,27.0,Centre-Forward,West Ham United,in,Summer,4.1,2008/2009
Fulham FC,John Paintsil,27.0,Right-Back,West Ham United,in,Summer,3.8,2008/2009
Fulham FC,Dickson Etuhu,26.0,Defensive Midfield,Sunderland AFC,in,Summer,1.85,2008/2009
Fulham FC,Julian Gray,28.0,Centre-Forward,Coventry,in,Summer,0.4,2008/2009
West Brom,Scott Carson,22.0,Goalkeeper,Liverpool FC,in,Summer,4.0,2008/2009
West Brom,Luke Moore,22.0,Centre-Forward,Aston Villa,in,Summer,3.75,2008/2009
West Brom,Abdoulaye Méïté,27.0,Centre-Back,Bolton,in,Summer,2.6,2008/2009
Stoke City,Dave Kitson,28.0,Centre-Forward,Reading FC,in,Summer,7.0,2008/2009
Stoke City,Seyi Olofinjana,28.0,Central Midfield,Wolves,in,Summer,3.8,2008/2009
Stoke City,Ibrahima Sonko,27.0,Centre-Back,Reading FC,in,Summer,3.0,2008/2009
Stoke City,Michael Tonge,25.0,Central Midfield,Sheff Utd,in,Summer,3.0,2008/2009
Stoke City,Danny Higginbotham,29.0,Centre-Back,Sunderland AFC,in,Summer,3.0,2008/2009
Stoke City,Abdoulaye Faye,30.0,Centre-Back,Newcastle United,in,Summer,2.9,2008/2009
Stoke City,Andrew Davies,23.0,Centre-Back,Southampton,in,Summer,1.9,2008/2009
Stoke City,Tom Soares,22.0,Central Midfield,Crystal Palace,in,Summer,1.9,2008/2009
Stoke City,Amdy Faye,31.0,Defensive Midfield,Charlton,in,Summer,0.45,2008/2009
Hull City,Anthony Gardner,27.0,Centre-Back,Spurs,in,Summer,3.2,2008/2009
Hull City,Daniel Cousin,31.0,Centre-Forward,Rangers,in,Summer,1.9,2008/2009
Hull City,George Boateng,32.0,Defensive Midfield,Middlesbrough FC,in,Summer,1.2,2008/2009
Man Utd,Ritchie De Laet,20.0,Centre-Back,Stoke City,in,Winter,0.25,2008/2009
Aston Villa,Emile Heskey,31.0,Centre-Forward,Wigan,in,Winter,3.7,2008/2009
Blackburn Rovers,El-Hadji Diouf,28.0,Centre-Forward,Sunderland AFC,in,Winter,2.2,2008/2009
Portsmouth FC,Hayden Mullins,29.0,Defensive Midfield,West Ham United,in,Winter,2.3,2008/2009
Man City,Craig Bellamy,29.0,Left Winger,West Ham United,in,Winter,15.5,2008/2009
Man City,Wayne Bridge,28.0,Left-Back,Chelsea FC,in,Winter,13.0,2008/2009
Man City,Shay Given,32.0,Goalkeeper,Newcastle United,in,Winter,9.0,2008/2009
Spurs,Robbie Keane,28.0,Centre-Forward,Liverpool FC,in,Winter,16.7,2008/2009
Spurs,Jermain Defoe,26.0,Centre-Forward,Portsmouth FC,in,Winter,16.4,2008/2009
Spurs,Wilson Palacios,24.0,Defensive Midfield,Wigan,in,Winter,15.0,2008/2009
Spurs,Pascal Chimbonda,29.0,Centre-Back,Sunderland AFC,in,Winter,3.2,2008/2009
Newcastle United,Kevin Nolan,26.0,Attacking Midfield,Bolton,in,Winter,4.5,2008/2009
Newcastle United,Ryan Taylor,24.0,Right-Back,Wigan,in,Winter,0.3,2008/2009
Wigan Athletic,Charles N'Zogbia,22.0,Right Winger,Newcastle United,in,Winter,6.4,2008/2009
Wigan Athletic,Ben Watson,23.0,Central Midfield,Crystal Palace,in,Winter,2.1,2008/2009
Bolton,Mark Davies,20.0,Central Midfield,Wolves,in,Winter,0.6,2008/2009
Stoke City,James Beattie,30.0,Centre-Forward,Sheff Utd,in,Winter,4.0,2008/2009
Stoke City,Matthew Etherington,27.0,Left Midfield,West Ham United,in,Winter,3.0,2008/2009
Hull City,Jimmy Bullard,30.0,Central Midfield,Fulham FC,in,Winter,5.3,2008/2009
Hull City,Kevin Kilbane,31.0,Left Midfield,Wigan,in,Winter,0.55,2008/2009
Man Utd,Antonio Valencia,23.0,Right-Back,Wigan,in,Summer,18.8,2009/2010
Liverpool FC,Glen Johnson,24.0,Right-Back,Portsmouth FC,in,Summer,20.5,2009/2010
Chelsea FC,Daniel Sturridge,19.0,Centre-Forward,Man City,in,Summer,7.25,2009/2010
Aston Villa,Stewart Downing,24.0,Left Midfield,Middlesbrough FC,in,Summer,13.0,2009/2010
Aston Villa,Fabian Delph,19.0,Central Midfield,Leeds United,in,Summer,9.5,2009/2010
Aston Villa,Stephen Warnock,27.0,Left-Back,Blackburn Rovers,in,Summer,9.0,2009/2010
Aston Villa,Richard Dunne,29.0,Centre-Back,Man City,in,Summer,6.8,2009/2010
Aston Villa,James Collins,26.0,Centre-Back,West Ham United,in,Summer,5.7,2009/2010
Aston Villa,Habib Bèye,31.0,Right-Back,Newcastle United,in,Summer,2.9,2009/2010
Fulham FC,Damien Duff,30.0,Right Midfield,Newcastle United,in,Summer,4.0,2009/2010
Spurs,Peter Crouch,28.0,Centre-Forward,Portsmouth FC,in,Summer,10.5,2009/2010
Spurs,Sébastien Bassong,23.0,Centre-Back,Newcastle United,in,Summer,9.3,2009/2010
Spurs,Kyle Naughton,20.0,Right-Back,Sheff Utd,in,Summer,5.9,2009/2010
Spurs,Kyle Walker,19.0,Right-Back,Sheff Utd,in,Summer,5.9,2009/2010
Spurs,Niko Kranjcar,25.0,Attacking Midfield,Portsmouth FC,in,Summer,2.8,2009/2010
Man City,Carlos Tévez,25.0,Second Striker,West Ham United,in,Summer,29.0,2009/2010
Man City,Emmanuel Adebayor,25.0,Centre-Forward,Arsenal FC,in,Summer,29.0,2009/2010
Man City,Joleon Lescott,27.0,Centre-Back,Everton,in,Summer,27.5,2009/2010
Man City,Roque Santa Cruz,27.0,Centre-Forward,Blackburn Rovers,in,Summer,21.2,2009/2010
Man City,Kolo Touré,28.0,Centre-Back,Arsenal FC,in,Summer,18.7,2009/2010
Man City,Gareth Barry,28.0,Defensive Midfield,Aston Villa,in,Summer,13.9,2009/2010
Wigan Athletic,Jason Scotland,30.0,Centre-Forward,Swansea City,in,Summer,2.3,2009/2010
Stoke City,Robert Huth,24.0,Centre-Back,Middlesbrough FC,in,Summer,7.0,2009/2010
Stoke City,Tuncay Sanli,27.0,Left Winger,Middlesbrough FC,in,Summer,5.7,2009/2010
Stoke City,Dean Whitehead,27.0,Central Midfield,Sunderland AFC,in,Summer,3.5,2009/2010
Stoke City,Danny Collins,29.0,Centre-Back,Sunderland AFC,in,Summer,3.1,2009/2010
Bolton,Zat Knight,29.0,Centre-Back,Aston Villa,in,Summer,4.7,2009/2010
Bolton,Sam Ricketts,27.0,Right-Back,Hull City,in,Summer,2.4,2009/2010
Portsmouth FC,Kevin-Prince Boateng,22.0,Attacking Midfield,Spurs,in,Summer,4.5,2009/2010
Portsmouth FC,Mike Williamson,25.0,Centre-Back,Watford FC,in,Summer,2.3,2009/2010
Portsmouth FC,Tommy Smith,29.0,Centre-Forward,Watford FC,in,Summer,2.0,2009/2010
Blackburn Rovers,Pascal Chimbonda,30.0,Centre-Back,Spurs,in,Summer,1.7,2009/2010
Sunderland AFC,Michael Turner,25.0,Centre-Back,Hull City,in,Summer,13.6,2009/2010
Sunderland AFC,Darren Bent,25.0,Centre-Forward,Spurs,in,Summer,11.8,2009/2010
Sunderland AFC,Lee Cattermole,21.0,Defensive Midfield,Wigan,in,Summer,7.0,2009/2010
Sunderland AFC,Fraizer Campbell,21.0,Centre-Forward,Man Utd,in,Summer,4.1,2009/2010
Hull City,Stephen Hunt,28.0,Left Midfield,Reading FC,in,Summer,4.0,2009/2010
Hull City,Seyi Olofinjana,29.0,Central Midfield,Stoke City,in,Summer,3.5,2009/2010
Hull City,Paul McShane,23.0,Centre-Back,Sunderland AFC,in,Summer,2.5,2009/2010
Wolves,Kevin Doyle,25.0,Centre-Forward,Reading FC,in,Summer,7.6,2009/2010
Wolves,Greg Halford,24.0,Centre-Back,Sunderland AFC,in,Summer,2.4,2009/2010
Wolves,Andrew Surman,22.0,Central Midfield,Southampton,in,Summer,1.4,2009/2010
Birmingham City,Roger Johnson,26.0,Centre-Back,Cardiff City,in,Summer,5.9,2009/2010
Birmingham City,Scott Dann,22.0,Centre-Back,Coventry,in,Summer,4.0,2009/2010
Birmingham City,Barry Ferguson,31.0,Defensive Midfield,Rangers,in,Summer,1.2,2009/2010
Birmingham City,Joe Hart,22.0,Goalkeeper,Man City,in,Summer,1.15,2009/2010
Burnley FC,André Bikey,24.0,defence,Reading FC,in,Summer,3.25,2009/2010
Burnley FC,Tyrone Mears,26.0,Right-Back,Derby County,in,Summer,0.59,2009/2010
Burnley FC,David Edgar,22.0,Centre-Back,Newcastle United,in,Summer,0.35,2009/2010
Spurs,Younès Kaboul,23.0,Centre-Back,Portsmouth FC,in,Winter,5.9,2009/2010
West Ham United,Benni McCarthy,32.0,Centre-Forward,Blackburn Rovers,in,Winter,2.6,2009/2010
Man City,Adam Johnson,22.0,Right Winger,Middlesbrough FC,in,Winter,8.0,2009/2010
Wigan Athletic,Victor Moses,19.0,Right Midfield,Crystal Palace,in,Winter,3.0,2009/2010
Stoke City,Asmir Begovic,22.0,Goalkeeper,Portsmouth FC,in,Winter,3.75,2009/2010
Bolton,Paul Robinson,31.0,Centre-Back,West Brom,in,Winter,1.2,2009/2010
Sunderland AFC,Matthew Kilgallon,26.0,Centre-Back,Sheff Utd,in,Winter,2.3,2009/2010
