club_name,player_name,age,position,club_involved_name,transfer_movement,transfer_period,fee_cleaned,season
Leicester City,Mark Robins,25.0,Centre-Forward,Norwich City,in,Winter,1.25,1994/1995
Leicester City,Garry Parker,29.0,Central Midfield,Aston Villa,in,Winter,0.45,1994/1995
Coventry City,David Burrows,26.0,Left-Back,Everton,in,Winter,1.65,1994/1995
Coventry City,Mike Marsh,25.0,Central Midfield,West Ham United,in,Winter,0.55,1994/1995
Coventry City,Kevin Richardson,32.0,Central Midfield,Aston Villa,in,Winter,0.38,1994/1995
Man Utd,Andy Cole,23.0,Centre-Forward,Newcastle United,in,Winter,9.6,1994/1995
Crystal Palace,Iain Dowie,30.0,Centre-Forward,Southampton,in,Winter,0.5,1994/1995
Crystal Palace,Ray Houghton,33.0,Central Midfield,Aston Villa,in,Winter,0.359,1994/1995
Newcastle United,Keith Gillespie,19.0,Right Midfield,Man Utd,in,Winter,1.5,1994/1995
Arsenal FC,John Hartson,19.0,Centre-Forward,Luton,in,Winter,3.75,1994/1995
Arsenal FC,Chris Kiwomya,25.0,Centre-Forward,Ipswich Town,in,Winter,2.25,1994/1995
Aston Villa,Tommy Johnson,23.0,Centre-Forward,Derby County,in,Winter,2.18,1994/1995
Aston Villa,Alan Wright,23.0,Left-Back,Blackburn Rovers,in,Winter,1.5,1994/1995
Aston Villa,Ian Taylor,26.0,Defensive Midfield,Sheff Wed,in,Winter,1.5,1994/1995
Aston Villa,Franz Carr,28.0,Right Winger,Leicester City,in,Winter,0.3,1994/1995
Blackburn Rovers,Jeff Kenna,24.0,Right-Back,Southampton,in,Winter,2.25,1994/1995
Chelsea FC,Mark Hughes,31.0,Centre-Forward,Man Utd,in,Summer,1.9,1995/1996
Middlesbrough FC,Nick Barmby,21.0,Left Midfield,Spurs,in,Summer,7.5,1995/1996
Nottm Forest,Chris Bart-Williams,21.0,Attacking Midfield,Sheff Wed,in,Summer,3.75,1995/1996
Nottm Forest,Richard Irving,19.0,attack,Man Utd,in,Summer,0.093,1995/1996
Newcastle United,Les Ferdinand,28.0,Centre-Forward,QPR,in,Summer,9.5,1995/1996
Newcastle United,Warren Barton,26.0,Right-Back,Wimbledon FC,in,Summer,4.5,1995/1996
Newcastle United,Shaka Hislop,26.0,Goalkeeper,Reading FC,in,Summer,2.2,1995/1996
Coventry City,Paul Telfer,23.0,Right-Back,Luton,in,Summer,1.65,1995/1996
Coventry City,Paul Williams,24.0,Centre-Back,Derby County,in,Summer,1.14,1995/1996
Sheff Utd,Mark Pembridge,24.0,Left Midfield,Derby County,in,Summer,1.25,1995/1996
Aston Villa,Mark Draper,24.0,Central Midfield,Leicester City,in,Summer,4.88,1995/1996
Aston Villa,Gareth Southgate,24.0,Centre-Back,Crystal Palace,in,Summer,3.75,1995/1996
Aston Villa,Carl Tiler,25.0,Centre-Back,Nottm Forest,in,Summer,0.937,1995/1996
Leeds United,Richard Jobson,32.0,Centre-Back,Oldham Athletic,in,Summer,1.15,1995/1996
Leeds United,Paul Beesley,30.0,Centre-Back,Sheff Utd,in,Summer,0.3,1995/1996
Liverpool FC,Stan Collymore,24.0,Centre-Forward,Nottm Forest,in,Summer,13.0,1995/1996
Liverpool FC,Jason McAteer,24.0,Right Midfield,Bolton,in,Summer,6.25,1995/1996
Spurs,Chris Armstrong,24.0,Centre-Forward,Crystal Palace,in,Summer,6.8,1995/1996
Spurs,Ruel Fox,27.0,Right Winger,Newcastle United,in,Summer,4.75,1995/1996
Blackburn Rovers,Matty Holmes,26.0,Left Midfield,West Ham United,in,Summer,1.5,1995/1996
Blackburn Rovers,Lars Bohinen,26.0,Central Midfield,Nottm Forest,in,Summer,0.77,1995/1996
Man City,Kit Symons,24.0,Centre-Back,Portsmouth FC,in,Summer,1.5,1995/1996
Man City,Gerry Creaney,25.0,Centre-Forward,Portsmouth FC,in,Summer,1.0,1995/1996
Bolton,Gerry Taggart,24.0,Centre-Back,Barnsley FC,in,Summer,2.25,1995/1996
Bolton,Scott Sellars,29.0,Left Midfield,Newcastle United,in,Summer,0.85,1995/1996
Bolton,Andy Todd,20.0,Centre-Back,Middlesbrough FC,in,Summer,0.375,1995/1996
West Ham United,Iain Dowie,30.0,Centre-Forward,Crystal Palace,in,Summer,0.6,1995/1996
West Ham United,Steve Jones,26.0,Centre-Forward,AFC Bournemouth,in,Summer,0.249,1995/1996
QPR,Simon Osborn,23.0,Central Midfield,Reading FC,in,Summer,1.65,1995/1996
QPR,Mark Hateley,33.0,Centre-Forward,Rangers,in,Winter,1.75,1995/1996
Sheff Utd,Jon Newsome,25.0,Right-Back,Norwich City,in,Winter,2.25,1995/1996
Wimbledon FC,Andy Pearce,29.0,Centre-Back,Sheff Wed,in,Winter,0.73,1995/1996
Coventry City,Liam Daish,27.0,Centre-Back,Birmingham,in,Winter,1.8,1995/1996
Coventry City,Richard Shaw,27.0,Centre-Back,Crystal Palace,in,Winter,1.5,1995/1996
Man Utd,Tony Coton,34.0,Goalkeeper,Man City,in,Winter,0.575,1995/1996
Newcastle United,David Batty,27.0,Defensive Midfield,Blackburn Rovers,in,Winter,5.15,1995/1996
West Ham United,Ilie Dumitrescu,26.0,Left Winger,Spurs,in,Winter,1.5,1995/1996
Bolton,Nathan Blake,23.0,Centre-Forward,Sheff Utd,in,Winter,1.68,1995/1996
Bolton,Gavin Ward,25.0,Goalkeeper,Bradford,in,Winter,0.45,1995/1996
Man City,Nigel Clough,29.0,Attacking Midfield,Liverpool FC,in,Winter,1.7,1995/1996
Man City,Scott Hiley,27.0,Right-Back,Birmingham,in,Winter,0.313,1995/1996
Blackburn Rovers,Garry Flitcroft,23.0,Central Midfield,Man City,in,Winter,5.25,1995/1996
Blackburn Rovers,Chris Coleman,25.0,Centre-Back,Crystal Palace,in,Winter,4.9,1995/1996
Blackburn Rovers,Graham Fenton,21.0,Second Striker,Aston Villa,in,Winter,1.5,1995/1996
Spurs,Andy Sinton,29.0,Left Midfield,Sheff Wed,in,Winter,1.82,1995/1996
Aston Villa,Sasa Curcic,24.0,Defensive Midfield,Bolton,in,Summer,6.0,1996/1997
Aston Villa,Julian Joachim,21.0,Centre-Forward,Leicester City,in,Summer,2.1,1996/1997
Sheff Utd,Andy Booth,22.0,Centre-Forward,Huddersfield,in,Summer,3.9,1996/1997
Sheff Utd,Scott Oakes,,attack,Luton,in,Summer,0.64,1996/1997
Leicester City,Muzzy Izzet,21.0,Attacking Midfield,Chelsea FC,in,Summer,1.2,1996/1997
Leicester City,Ian Marshall,30.0,Centre-Forward,Ipswich Town,in,Summer,1.2,1996/1997
Leicester City,Spencer Prior,25.0,Centre-Back,Norwich City,in,Summer,0.7,1996/1997
Wimbledon FC,Duncan Jupp,21.0,Right-Back,Fulham FC,in,Summer,0.24,1996/1997
Coventry City,Gary McAllister,31.0,Central Midfield,Leeds United,in,Summer,0.25,1996/1997
