Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
50,Lars Bohinen,no NOR,MF,Derby County,29,1969,13,8,653,7.3,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Alexandre Bonnot,fr FRA,MF,Watford,26,1973,12,7,625,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Andy Booth,eng ENG,FW,Sheffield Weds,25,1973,23,20,1752,19.5,2,3,5,2,0,0,3,0,0.10,0.15,0.26,0.10,0.26,Matches
53,Vassilios Borbokis,gr GRE,DF,Derby County,30,1969,12,6,660,7.3,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches
54,Mark Bosnich,au AUS,GK,Manchester Utd,27,1972,23,23,1875,20.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Steve Bould,eng ENG,DF,Sunderland,36,1962,20,19,1675,18.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
56,Lee Bowyer,eng ENG,MF,Leeds United,22,1977,33,31,2768,30.8,5,2,7,5,0,0,13,0,0.16,0.07,0.23,0.16,0.23,Matches
57,Shayne Bradley,eng ENG,FW,Southampton,19,1979,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Gary Breen,ie IRL,DF,Coventry City,25,1973,21,20,1816,20.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Wayne Bridge,eng ENG,DF,Southampton,18,1980,18,15,1445,16.1,1,2,3,1,0,0,0,0,0.06,0.12,0.19,0.06,0.19,Matches
60,Michael Bridges,eng ENG,"FW,MF",Leeds United,20,1978,34,32,2357,26.2,19,4,23,19,0,0,6,0,0.73,0.15,0.88,0.73,0.88,Matches
61,Lee Briscoe,eng ENG,"DF,MF",Sheffield Weds,23,1975,16,7,727,8.1,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
62,Steve Brooker,eng ENG,FW,Watford,18,1981,1,0,6,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Craig Burley,sct SCO,MF,Derby County,27,1971,18,18,1594,17.7,5,1,6,3,2,3,1,0,0.28,0.06,0.34,0.17,0.23,Matches
