player_name,nation,squad,minutes_played,goals,assists,cards
Paul Merson,eng ENG,Aston Villa,1889,5,2,2.0
Danny Mills,eng ENG,Charlton Ath,3132,2,2,10.0
Scott Minto,eng ENG,West Ham,1242,0,0,2.0
Robert Molenaar,nl NED,Leeds United,1469,2,0,4.0
Danny Murphy,eng ENG,Liverpool,15,0,0,0.0
Jon Newsome,eng ENG,Sheffield Weds,239,0,0,0.0
Scott Oakes,eng ENG,Sheffield Weds,73,0,0,0.0
John Oster,wls WAL,Everton,530,1,0,1.0
Gary Pallister,eng ENG,Middlesbrough,2222,0,0,5.0
Carlton Palmer,eng ENG,Southampton,1664,0,1,6.0
Carlton Palmer,eng ENG,Nott'ham Forest,1169,0,0,6.0
Garry Parker,eng ENG,Leicester City,207,1,0,0.0
Scott Parker,eng ENG,Charlton Ath,40,0,1,0.0
Darren Peacock,eng ENG,Blackburn,2421,1,2,7.0
Ian Pearce,eng ENG,West Ham,2962,2,2,4.0
Chris Perry,eng ENG,Wimbledon,3029,0,1,6.0
Mart Poom,ee EST,Derby County,1401,0,0,0.0
Chris Powell,eng ENG,Charlton Ath,3409,0,1,2.0
Spencer Prior,eng ENG,Derby County,3000,1,0,4.0
Nigel Quashie,sct SCO,Nott'ham Forest,1002,0,1,4.0
Neil Redfearn,eng ENG,Charlton Ath,2501,3,1,9.0
Stuart Ripley,eng ENG,Southampton,1375,0,2,1.0
Andy Roberts,eng ENG,Wimbledon,2101,2,1,9.0
Paul Robinson,eng ENG,Leeds United,405,0,0,0.0
Alan Rogers,eng ENG,Nott'ham Forest,2978,4,2,8.0
Neil Ruddock,eng ENG,West Ham,2366,2,0,9.0
Louis Saha,fr FRA,Newcastle Utd,605,1,1,1.0
Robbie Savage,wls WAL,Leicester City,2509,1,2,3.0
John Scales,eng ENG,Tottenham,610,0,0,1.0
Mark Schwarzer,au AUS,Middlesbrough,3060,0,0,1.0
Riccardo Scimeca,eng ENG,Aston Villa,1386,2,0,3.0
Carl Serrant,eng ENG,Newcastle Utd,225,0,0,1.0
Lee Sharpe,eng ENG,Leeds United,180,0,0,0.0
Richard Shaw,eng ENG,Coventry City,3261,0,0,2.0
Alan Shearer,eng ENG,Newcastle Utd,2585,14,3,6.0
Teddy Sheringham,eng ENG,Manchester Utd,757,2,3,4.0
Tim Sherwood,eng ENG,Tottenham,1108,2,1,1.0
Tim Sherwood,eng ENG,Blackburn,1601,3,0,7.0
Neil Shipperley,eng ENG,Nott'ham Forest,1166,1,1,0.0
Frank Sinclair,jm JAM,Leicester City,2640,1,0,12.0
Trevor Sinclair,eng ENG,West Ham,3167,6,5,7.0
